index,knn,decisionTree,mlp,agglomerative,dbscan,kmeans,
original\_wine\_set\_red,0.57,0.60,0.56,0.01,0.00,0.10,
original\_wine\_set\_white,0.60,0.63,0.52,0.00,0.00,0.09,
removed\_10\_set\_red,0.50,0.52,0.53,0.01,0.00,0.13,
removed\_20\_set\_red,0.48,0.50,0.48,0.01,0.00,0.11,
removed\_30\_set\_red,0.44,0.50,0.56,0.01,0.00,0.04,
removed\_10\_set\_white,0.52,0.52,0.51,0.01,0.00,0.15,
removed\_20\_set\_white,0.43,0.47,0.49,0.01,0.00,0.06,
removed\_30\_set\_white,0.43,0.43,0.49,0.01,0.00,0.13,
red\_normalize\_log,0.62,0.60,0.55,0.01,0.02,0.12,
red\_normalize\_standard\_scaler,0.63,0.61,0.58,0.00,0.00,0.08,
red\_normalize\_mean,0.56,0.58,0.59,0.00,0.00,0.08,
white\_normalize\_log,0.64,0.61,0.55,0.00,0.00,0.03,
white\_normalize\_standard\_scaler,0.65,0.62,0.58,0.02,0.00,0.10,
white\_normalize\_mean,0.56,0.60,0.49,0.00,0.00,0.09,
discretized\_set\_red,0.62,0.62,0.59,0.01,0.00,0.14,
discretized\_set\_white,0.59,0.58,0.50,0.01,0.00,0.12,
reduced\_set\_red,0.61,0.62,0.59,0.01,0.00,0.02,
reduced\_set\_white,0.58,0.60,0.48,0.00,0.00,0.07,
